problem,response,problem_id,originality_rescaled_factor,effectiveness_rescaled_factor,label
assist people with learning impairments retain information,More studies on how they react to infromation given to them and then creating a program to work around it,1,3.3,3.3,
assist people with learning impairments retain information,More suited teaching program for them,1,2.8,3.0,
assist people with learning impairments retain information,"Offering timely feedback and positive reinforcement to track progress, boost confidence, and motivate continued learning.",1,3.9,4.6,
assist people with learning impairments retain information,One to one care,1,2.2,2.8,
assist people with learning impairments retain information,Online tasks with examples,1,2.8,2.5,
assist people with learning impairments retain information,Personalized learning plan,1,2.6,4.2,
assist people with learning impairments retain information,Physical boosters,1,2.3,1.3,
assist people with learning impairments retain information,Practicity,1,1.9,2.0,
assist people with learning impairments retain information,Prepare material specialized in investing kids to learn certain topics and encourage them,1,3.0,3.6,
assist people with learning impairments retain information,Prepare teachers to learn about the root of the impairment and pass down to the students the tolerance and willing to help,1,3.1,3.6,
assist people with learning impairments retain information,Presentations of understandings,1,2.0,3.5,
assist people with learning impairments retain information,Professional teacher to teach them,1,1.8,2.8,
assist people with learning impairments retain information,Progress tracking,1,2.3,2.6,
assist people with learning impairments retain information,Provide alternatives of learning for people with impairment with different schools,1,3.0,4.0,
assist people with learning impairments retain information,Providing clear and concise instructions and explanations to ensure understanding and avoid confusion.,1,2.5,3.3,
assist people with learning impairments retain information,READ IT AND TRY TO RECALL A PRECENTAGE OF TEXT,1,2.2,1.9,
assist people with learning impairments retain information,Real world application projects,1,2.7,3.9,
assist people with learning impairments retain information,Real-world smaller tasks,1,3.0,3.8,
assist people with learning impairments retain information,Sensory white board where you can feel and mell different things,1,3.9,2.0,
assist people with learning impairments retain information,Simple books or comics like stories,1,2.7,3.2,
assist people with learning impairments retain information,Simple example,1,1.6,2.6,
assist people with learning impairments retain information,Simplified Languge translator,1,2.1,2.8,
assist people with learning impairments retain information,Smart pencil that specializes in information retaining techniques,1,3.9,1.9,
assist people with learning impairments retain information,Specialized tutors to monitor the study process of people with learning impairments.,1,3.4,3.9,
assist people with learning impairments retain information,Squeezy toy to relate to remembe,1,3.0,1.9,
assist people with learning impairments retain information,Talk slower,1,1.6,2.0,
assist people with learning impairments retain information,Talking books,1,3.1,2.6,
assist people with learning impairments retain information,Teach people how to be able to help them,1,2.4,2.3,
assist people with learning impairments retain information,Tests that are fun,1,2.8,3.3,
assist people with learning impairments retain information,Text transcription,1,2.0,2.4,
assist people with learning impairments retain information,Train people with repetitive actions so they do it out of habit,1,2.9,3.4,
assist people with learning impairments retain information,Training buddy to relate with the impaired individual,1,3.0,2.6,
assist people with learning impairments retain information,"Trying to stablish a daily routine, and rewarding him every n lessons.",1,2.7,3.4,
assist people with learning impairments retain information,Use a sound and picture book to link words/information with the picture,1,3.1,3.5,
assist people with learning impairments retain information,Use of images,1,2.1,3.2,
assist people with learning impairments retain information,Use of similitudes,1,2.4,2.9,
assist people with learning impairments retain information,Use simpler words,1,1.7,2.2,
assist people with learning impairments retain information,Use visualize form to make them stimulated,1,2.7,3.0,
assist people with learning impairments retain information,Utilizing assistive technologies like text-to-speech or speech recognition software to accommodate different learning abilities.,1,3.3,3.8,
assist people with learning impairments retain information,VR Learning,1,3.6,3.1,
assist people with learning impairments retain information,Video,1,1.9,1.7,
assist people with learning impairments retain information,Videos that explain the same problem on different difficulties,1,3.5,4.1,
assist people with learning impairments retain information,Vioce activated book,1,3.2,2.2,
assist people with learning impairments retain information,Visual Podcasts,1,3.0,2.1,
assist people with learning impairments retain information,Visually simulating images learning instead of text,1,2.8,3.7,
assist people with learning impairments retain information,Voice Guided instructionals,1,2.9,2.9,
assist people with learning impairments retain information,Vr head et that shows different times in history,1,3.5,1.8,
assist people with learning impairments retain information,Writing acdemic books that have more picture illustrations when solving problems,1,3.1,3.5,
assist people with learning impairments retain information,a game or video game related to the subject,1,2.9,3.5,
assist people with learning impairments retain information,activity of explaining what you learned to a stranger,1,3.2,3.2,
assist people with learning impairments retain information,add more staff for it,1,1.9,1.7,
assist people with learning impairments retain information,all information can be recorded so as to be easily assessed later,1,2.7,3.1,
assist people with learning impairments retain information,allways say what they need to do after,1,2.5,2.5,
assist people with learning impairments retain information,alternative teachers to explain concepts from different perspectives,1,3.2,2.8,
assist people with learning impairments retain information,"an app that considers the user's preferred method of learning (tactile, auditory, visual, etc.) and caters to this method -- information is downloaded into the device which is then transformed in a way that is most suitable for the user",1,4.5,4.9,
assist people with learning impairments retain information,an app that trains the user in different ways on different topics during a prolonged period of time (with memory recall tasks) to better understand the learning impairment and see which learning techniques worked the best in terms of memory retainment for that individual. Incorporate this into future learning,1,4.5,4.2,
assist people with learning impairments retain information,an app which sends notifications for repeat learning and practise,1,3.1,3.3,
assist people with learning impairments retain information,an individual to explain and answer question,1,2.4,2.6,
assist people with learning impairments retain information,app / tech that keeps notes,1,2.5,3.3,
assist people with learning impairments retain information,app that radomly reminds you important information through the day,1,2.8,2.3,
assist people with learning impairments retain information,"app to help with studying, reminding you to stay focused every 5/10 minutes",1,2.9,3.3,
assist people with learning impairments retain information,"app to save information that is hard for them to remember, so they can review it at any time they want",1,3.2,3.7,
assist people with learning impairments retain information,app where you store information and search it by key words,1,3.8,3.3,
assist people with learning impairments retain information,app with music about the topics,1,2.9,2.5,
assist people with learning impairments retain information,associate the new learning with a previous learning,1,2.7,3.7,
assist people with learning impairments retain information,audiobook to listen at night,1,2.3,3.2,
assist people with learning impairments retain information,better teachers,1,2.4,2.4,
assist people with learning impairments retain information,books with bolded text in a specific way to help with learning,1,3.2,2.9,
assist people with learning impairments retain information,"branching out, graph view",1,2.9,2.3,
assist people with learning impairments retain information,classes with less people,1,1.9,2.9,
assist people with learning impairments retain information,concentration pills,1,2.9,2.5,
assist people with learning impairments retain information,create a learning evironment that focuses on their individual strengths and rewards them for how well they do on exercises showing retained information,1,3.8,4.4,
assist people with learning impairments retain information,create devices for learning tailored to each individual impairment,1,3.9,3.5,
assist people with learning impairments retain information,design toys that help people with their memory,1,3.4,2.8,
assist people with learning impairments retain information,develop an app that emphasises repetitive learning,1,3.6,3.2,
assist people with learning impairments retain information,different colors for text deppending on the importance of it,1,2.7,3.2,
assist people with learning impairments retain information,duolingo but exercises are very very repetitive,1,2.8,3.4,
assist people with learning impairments retain information,ebooks to read,1,2.2,2.3,
assist people with learning impairments retain information,flashcard app adapted for each learning disability such as dyspraxia,1,3.8,3.9,
assist people with learning impairments retain information,free online courses,1,2.4,2.5,
assist people with learning impairments retain information,full enviroments for learning one topic,1,3.1,2.7,
assist people with learning impairments retain information,game to help learning like minecraft education,1,3.4,4.5,
assist people with learning impairments retain information,general learning disability app with everything i've listed specified for each disability,1,4.6,4.3,
assist people with learning impairments retain information,"government funded programs for assisted teaching, preferably one on one",1,3.1,3.6,
assist people with learning impairments retain information,have a ONG dedicated to teach people to do things,1,3.5,2.6,
assist people with learning impairments retain information,have apps that help to remember things on especific times,1,2.8,2.5,
assist people with learning impairments retain information,have reminders set up to repeat information learnt over a certain length of time even during day to day activities in order to reinforce learning,1,3.5,3.7,
assist people with learning impairments retain information,have social politics to help this people.,1,2.2,1.6,
assist people with learning impairments retain information,having colorful notes about the subject,1,2.7,3.1,
assist people with learning impairments retain information,incorporate knowledge in a non-school environment so that people don't feel pressured,1,3.3,3.0,
assist people with learning impairments retain information,increaing the production of Robots to teach people who have these impairments,1,3.6,1.7,
assist people with learning impairments retain information,introducing different learning methods to the traditional ones,1,2.9,3.0,
assist people with learning impairments retain information,let them express their problems and learn from them,1,1.7,2.8,
assist people with learning impairments retain information,listen their question and try to answer,1,1.6,2.3,
assist people with learning impairments retain information,machine that records the teaching so the person can replay it as many times as they want to learn it,1,3.2,3.7,
assist people with learning impairments retain information,make a lot of breaks,1,2.3,3.0,
assist people with learning impairments retain information,make a lot of infograms about the things you want to teach,1,2.7,3.1,
assist people with learning impairments retain information,make an anime about different topics to study,1,3.5,2.3,
assist people with learning impairments retain information,make learning videogames,1,3.1,3.9,
assist people with learning impairments retain information,make them do the things that need to be learn if possible,1,2.1,2.4,
assist people with learning impairments retain information,making different types of material for studying,1,2.3,2.9,
assist people with learning impairments retain information,medicine or supplements to aid in their impairments,1,2.7,1.5,
assist people with learning impairments retain information,memory/association game,1,3.1,3.2,
assist people with learning impairments retain information,menomic sequences,1,2.9,2.8,
assist people with learning impairments retain information,more appealing lessons,1,1.9,3.1,
assist people with learning impairments retain information,more frequent but easier tests so they retain information in shorter times,1,3.3,4.0,
assist people with learning impairments retain information,multiple repetitions of the material in differents forms,1,2.7,3.4,
assist people with learning impairments retain information,organisation tool kit,1,2.8,1.8,
assist people with learning impairments retain information,people often understand their own parents or close relatives so maybe modelling eteachers that will look like those people,1,3.8,2.2,
assist people with learning impairments retain information,personalized lessons,1,2.8,3.7,
assist people with learning impairments retain information,pocket cards for remembering ideas,1,2.7,2.7,
assist people with learning impairments retain information,practical situations for each subject,1,3.1,3.7,
assist people with learning impairments retain information,question-answer game to understand better,1,3.0,3.5,
assist people with learning impairments retain information,record innovative videos so they can repeat it as many times as they want,1,3.0,3.3,
assist people with learning impairments retain information,record meeting,1,2.4,2.3,
assist people with learning impairments retain information,recorded videos of the learning material so the individual can have more time to learn at their own rate,1,3.5,3.9,
assist people with learning impairments retain information,relate always to an image,1,2.4,2.8,
assist people with learning impairments retain information,reminder,1,1.4,1.1,
assist people with learning impairments retain information,repeating in fun ways the knowledge,1,2.6,3.3,
assist people with learning impairments retain information,robot that specialises in learning disability,1,3.8,3.7,
assist people with learning impairments retain information,safe drugs to help memory,1,3.1,3.4,
assist people with learning impairments retain information,search their preferences and use that for making learnings materials,1,3.2,3.3,
assist people with learning impairments retain information,"self establish books, when people learn in their time",1,2.9,2.3,
assist people with learning impairments retain information,self-guide applicaton for mobile,1,2.6,2.4,
assist people with learning impairments retain information,sensitive books and another ways to use the remaing senses,1,3.3,2.6,
assist people with learning impairments retain information,short games around the lessons,1,3.4,3.5,
assist people with learning impairments retain information,shorter lessons,1,2.0,3.0,
assist people with learning impairments retain information,simplified images,1,2.0,2.5,
assist people with learning impairments retain information,smart devices to interact,1,2.8,4.0,
assist people with learning impairments retain information,software to correct and explain the errors,1,3.3,3.8,
assist people with learning impairments retain information,"some kind of app with flashcards or something like that, which can be tailored to the specific necessities of every individual",1,3.5,3.2,
assist people with learning impairments retain information,some sort of app or website where the person immitates teaching what theyve learnt to reinforce,1,3.5,3.0,
assist people with learning impairments retain information,sounds annd images that relate to the topic,1,2.5,3.3,
assist people with learning impairments retain information,special notebooks with visual clues like color and images to help memorize better,1,3.7,3.8,
assist people with learning impairments retain information,step by step approach,1,2.0,2.5,
assist people with learning impairments retain information,"study ""coach""",1,2.5,3.1,
assist people with learning impairments retain information,studying buddy,1,1.8,2.3,
assist people with learning impairments retain information,summarize books into bullet points,1,2.1,2.4,
assist people with learning impairments retain information,summarize notes,1,1.6,1.9,
assist people with learning impairments retain information,summarize powerpoint slides,1,2.0,2.1,
assist people with learning impairments retain information,summarize what the person learn regularly,1,2.2,3.0,
assist people with learning impairments retain information,teach them in quiet places,1,1.9,3.0,
assist people with learning impairments retain information,"teaching with practical examples, videos and images",1,3.0,3.6,
assist people with learning impairments retain information,text to image,1,2.7,2.3,
assist people with learning impairments retain information,text to voice app with different accents/languages to choose from,1,3.1,3.3,
assist people with learning impairments retain information,texts with word association,1,2.3,2.7,
assist people with learning impairments retain information,trial and errors sys,1,1.7,2.3,
assist people with learning impairments retain information,try not to get mad when they make something slower,1,1.5,1.5,
assist people with learning impairments retain information,try to illustrate information,1,2.3,3.2,
assist people with learning impairments retain information,"try using different metods of learning,live videos, tex, voice,etc",1,2.9,3.3,
assist people with learning impairments retain information,use a color code to categorize different types of information,1,2.5,2.7,
assist people with learning impairments retain information,use educational tv shows,1,2.5,2.9,
assist people with learning impairments retain information,use link schemas between concepts,1,2.7,3.0,
assist people with learning impairments retain information,use memory palace,1,2.5,3.3,
assist people with learning impairments retain information,use of acronims,1,2.5,2.6,
assist people with learning impairments retain information,use of computer,1,2.0,1.6,
assist people with learning impairments retain information,use of flashcards to memorize,1,1.9,3.1,
assist people with learning impairments retain information,use of images to relate to the information,1,2.1,3.2,
assist people with learning impairments retain information,use of notebook,1,1.4,2.0,
assist people with learning impairments retain information,use post it notes for every day things,1,2.0,2.2,
assist people with learning impairments retain information,use repetition of tasks,1,2.5,3.2,
assist people with learning impairments retain information,use repitition,1,1.5,2.5,
assist people with learning impairments retain information,"use video games as teaching platforms, people with learning impairments might pay more attention if the activity isn't as boring",1,4.0,4.8,
assist people with learning impairments retain information,using robots,1,2.8,1.6,
assist people with learning impairments retain information,videos made like that was an action show or other type of genre,1,3.4,2.6,
assist people with learning impairments retain information,videos with captions  and well explained with images,1,3.0,3.1,
assist people with learning impairments retain information,visual guides,1,2.6,3.2,
assist people with learning impairments retain information,writeing everything down,1,1.7,1.8,
assist people with learning impairments retain information,wrtting tools,1,1.4,1.6,
assist people with memory impairments remember important tasks,A DEVICE THAT SEND SOME KIND OF SENATION TO THE SKIN TO REMIND THEM THINGS,2,3.6,2.5,
assist people with memory impairments remember important tasks,"A calender, color-coded, to keep in the house.",2,2.7,3.4,
assist people with memory impairments remember important tasks,CALENDAR APPLICAITON,2,1.7,2.4,
assist people with memory impairments remember important tasks,Create better calenders and  reminders of tasks.,2,2.5,3.3,
assist people with memory impairments remember important tasks,Different colors to denotate how important it is,2,2.9,2.6,
assist people with memory impairments remember important tasks,Plannning,2,1.7,1.7,
assist people with memory impairments remember important tasks,Sharethe memory with people,2,2.5,2.4,
assist people with memory impairments remember important tasks,Voice to text and texto to voice logs,2,2.8,3.1,
assist people with memory impairments remember important tasks,a phone app that consistenly reminds you of the task,2,2.7,3.2,
assist people with memory impairments remember important tasks,apps thath include a timer and the names of the tasks (like a to-do list),2,2.4,2.9,
assist people with memory impairments remember important tasks,calender apps that show as a phone notification consistently,2,2.9,3.1,
assist people with memory impairments remember important tasks,electronic calender,2,2.5,2.8,
assist people with memory impairments remember important tasks,give a jornal to them,2,2.1,1.8,
assist people with memory impairments remember important tasks,inhome devices or electronic calenders to show them reminders consistently,2,2.9,3.3,
assist people with memory impairments remember important tasks,interactive calender to set reminders,2,2.8,2.8,
assist people with memory impairments remember important tasks,interacvtive Checklists,2,2.8,3.1,
assist people with memory impairments remember important tasks,more acessible medication for those who need it,2,2.9,2.3,
assist people with memory impairments remember important tasks,pill box to help remind them to take their pills or if theyve already taken it for example every time you take a pill theres a timer and it locks until your next dosage,2,3.6,2.4,
assist people with memory impairments remember important tasks,put sticky notes arround there house,2,2.1,2.4,
assist people with memory impairments remember important tasks,sticker notes,2,1.6,2.5,
assist people with memory impairments remember important tasks,story boards,2,2.3,2.9,
assist people with memory impairments remember important tasks,system of colors for diferents activities,2,2.3,3.0,
assist people with memory impairments remember important tasks,write in notes or somwhere you can see it frecuently,2,2.5,3.3,
help people with hearing impairments participate in group conversations,A device to translate from earing to gestual movements with a monitor,3,3.3,3.0,
help people with hearing impairments participate in group conversations,Add more signs with the most commun used hand gestures.,3,2.6,2.7,
help people with hearing impairments participate in group conversations,Always stay close to the sorce of sound so you wont have much hearing problems,3,1.7,2.4,
help people with hearing impairments participate in group conversations,Augumented reality glasses that let you interpret sign language on the go,3,4.2,3.1,
help people with hearing impairments participate in group conversations,"Create a speech to text device, so the user can read what the othe person said",3,2.8,3.6,
help people with hearing impairments participate in group conversations,Create spaces where speaking is unnecesary,3,2.9,2.8,
help people with hearing impairments participate in group conversations,Develop new devices to aid people with hearing impaiments,3,3.2,3.1,
help people with hearing impairments participate in group conversations,Give them an specific moment in the convesation to speek,3,2.6,2.4,
help people with hearing impairments participate in group conversations,Glasses that allow for visable txt,3,3.2,2.6,
help people with hearing impairments participate in group conversations,More signlanguge translators,3,2.2,2.9,
help people with hearing impairments participate in group conversations,Put in places activvities that take advantages of other ways of communicating,3,3.0,3.4,
help people with hearing impairments participate in group conversations,"Teach sign langauge to every student aspiring to become a teacher, as well as a minor for every student",3,3.5,2.5,
help people with hearing impairments participate in group conversations,Use technilogy to translate into text spoken words,3,3.0,3.0,
help people with hearing impairments participate in group conversations,Using live transciption services to project subtitles onto a screen.,3,3.2,3.4,
help people with hearing impairments participate in group conversations,an easy to use app with friendly interface to help these people speak duringa conversation (text to speach),3,3.6,3.9,
help people with hearing impairments participate in group conversations,automated machines to slow down the conversation and make sente,3,3.0,2.7,
help people with hearing impairments participate in group conversations,background noice canceling device,3,2.8,2.9,
help people with hearing impairments participate in group conversations,cone with small speaker and microhppne to amplify voices,3,2.7,2.7,
help people with hearing impairments participate in group conversations,draws to help their comunication,3,2.0,2.0,
help people with hearing impairments participate in group conversations,education for the people to use sign lenguage,3,2.7,2.9,
help people with hearing impairments participate in group conversations,everyone has to draw to comunicate,3,2.3,2.1,
help people with hearing impairments participate in group conversations,"face the hearing-impaired person directly, on the same level an in good light ehenever possible",3,2.7,2.7,
help people with hearing impairments participate in group conversations,have lenguage translators,3,2.2,2.0,
help people with hearing impairments participate in group conversations,headphnes with ambient sound to increase volume and hearing better,3,2.9,3.1,
help people with hearing impairments participate in group conversations,increased awareness of disbilities such as hearing impairments,3,2.6,2.6,
help people with hearing impairments participate in group conversations,phone transciption of the conversation in real time,3,3.1,3.4,
help people with hearing impairments participate in group conversations,provide interactive sign language transaltion software so people can learn how to say what they want to say in sign language,3,3.3,3.3,
help people with hearing impairments participate in group conversations,sign langauge,3,2.4,2.7,
help people with hearing impairments participate in group conversations,sign language interpretor using hand gesture recognition,3,2.7,2.8,
help people with hearing impairments participate in group conversations,sing language,3,1.8,2.4,
help people with hearing impairments participate in group conversations,sing language interpretation devices,3,3.0,3.6,
help people with hearing impairments participate in group conversations,speach to text apps,3,2.4,3.0,
help people with hearing impairments participate in group conversations,speech to text advanced tool that automatically transcibe conversations allowing the person to follow along,3,3.0,4.1,
help people with hearing impairments participate in group conversations,talking slowly to the persno with difficulties,3,1.8,2.3,
help people with hearing impairments participate in group conversations,use of sign languaje,3,2.7,2.4,
help people with mobility impairments navigate stairs,Elevadores,4,2.1,2.9,
help people with mobility impairments navigate stairs,Introduce a law that requries every public facility that is building a new stair to also offer alternatives for people with mobility impairment e.g. ramps or lifts,4,3.9,3.6,
help people with mobility impairments navigate stairs,Make the steps wider but less far apart from eachother,4,2.8,2.8,
help people with mobility impairments navigate stairs,Ramps during building must also be considered for people woth mobility,4,2.7,3.2,
help people with mobility impairments navigate stairs,Some kind of rope that ataches to the chair and lifts the person,4,3.2,2.4,
help people with mobility impairments navigate stairs,Stair case wheel chair ramp?,4,2.5,3.0,
help people with mobility impairments navigate stairs,Wheel chair ramps,4,2.2,3.0,
help people with mobility impairments navigate stairs,Wheelchair rambs,4,2.3,3.2,
help people with mobility impairments navigate stairs,"a person type lift, to carry indeviduals from one place to another",4,2.2,2.4,
help people with mobility impairments navigate stairs,accessible ramps to provide acessible route,4,2.5,3.6,
help people with mobility impairments navigate stairs,asissted railings which move to help the person holding onto it,4,3.1,3.2,
help people with mobility impairments navigate stairs,build wheelschairs that have wheels that can safely climb up and down the stairs,4,3.3,3.5,
help people with mobility impairments navigate stairs,change their flat/appartment in a ground floor one,4,2.9,1.9,
help people with mobility impairments navigate stairs,create a special brace that has a motor which allows the use to clim,4,3.3,2.9,
help people with mobility impairments navigate stairs,elevator with your own weigth,4,2.3,2.2,
help people with mobility impairments navigate stairs,haiving someone to assis,4,2.3,2.7,
help people with mobility impairments navigate stairs,information box on stairs that notifies user of nearest escaltor/lift,4,2.4,3.3,
help people with mobility impairments navigate stairs,install stair lifts which are motorized devicces that transport individuals,4,2.8,3.5,
help people with mobility impairments navigate stairs,leg prosthetics that are flexible and bendible to stairs,4,3.4,2.4,
help people with mobility impairments navigate stairs,lots of breaks on the sairs,4,2.3,2.5,
help people with mobility impairments navigate stairs,make a trnasformable ramp,4,2.6,2.8,
help people with mobility impairments navigate stairs,make more ecenomically affordable wheelchairs and motorized weelchairs,4,2.9,2.8,
help people with mobility impairments navigate stairs,more lifts avaliable,4,2.4,4.0,
help people with mobility impairments navigate stairs,motorized wheel chair that is able to cross hard obsticals,4,3.4,2.6,
help people with mobility impairments navigate stairs,moving cover to transform stairs into ramps and viceversa,4,3.3,3.1,
help people with mobility impairments navigate stairs,movving ramp,4,2.2,3.4,
help people with mobility impairments navigate stairs,objects that help to go up on each stair supporting weigth,4,3.0,3.1,
help people with mobility impairments navigate stairs,physio therapy that actually aids in navigating difficult paths,4,3.3,2.1,
help people with mobility impairments navigate stairs,special wheelchar design to fit stairs,4,3.0,3.3,
help people with mobility impairments navigate stairs,"stair poles, so they can grap onto in case they lose balance ( mobility impairment doenst mean they cant walk, they can just have dificculty)",4,3.1,3.8,
help people with mobility impairments navigate stairs,using hinges or handeles attached to the side,4,2.5,3.1,
