,GPT4o_Originality,GPT4o_Uncommon,GPT4o_Remote,GPT4o_Clever
84,2.0,2.0,2.0,2.0
85,3.0,3.0,3.0,3.0
86,3.0,3.0,3.0,3.0
87,2.0,2.0,2.0,3.0
88,2.0,2.0,2.0,3.0
89,2.0,2.0,2.0,3.0
90,4.0,4.0,3.0,4.0
91,2.0,2.0,2.0,2.0
92,2.0,2.0,2.0,3.0
93,2.0,2.0,2.0,2.0
94,2.0,2.0,2.0,2.0
95,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0
97,4.0,4.0,3.0,4.0
98,4.0,4.0,3.0,4.0
99,3.0,3.0,2.0,3.0
100,3.0,3.0,2.0,3.0
101,4.0,4.0,3.0,4.0
102,4.0,4.0,3.0,4.0
103,3.0,3.0,2.0,4.0
104,3.0,3.0,2.0,4.0
105,3.0,3.0,3.0,3.0
106,2.0,2.0,2.0,3.0
107,2.0,2.0,2.0,3.0
108,2.0,2.0,2.0,2.0
109,2.0,2.0,2.0,2.0
110,2.0,2.0,2.0,2.0
111,2.0,2.0,2.0,2.0
112,2.0,3.0,2.0,3.0
113,2.0,3.0,2.0,3.0
114,3.0,3.0,2.0,3.0
115,3.0,3.0,2.0,3.0
116,2.0,2.0,2.0,3.0
117,2.0,2.0,2.0,3.0
118,4.0,4.0,3.0,4.0
119,2.0,2.0,2.0,3.0
120,2.0,2.0,2.0,3.0
121,3.0,3.0,3.0,3.0
122,3.0,3.0,3.0,3.0
123,3.0,3.0,3.0,4.0
124,3.0,3.0,3.0,3.0
125,4.0,4.0,4.0,4.0
126,4.0,4.0,4.0,5.0
127,2.0,2.0,2.0,2.0
128,2.0,2.0,2.0,2.0
129,2.0,2.0,2.0,2.0
130,3.0,3.0,3.0,3.0
131,5.0,5.0,5.0,4.0
132,5.0,5.0,5.0,4.0
133,5.0,5.0,5.0,4.0
134,3.0,3.0,2.0,3.0
135,3.0,3.0,2.0,2.0
136,3.0,3.0,2.0,2.0
137,2.0,2.0,2.0,2.0
138,2.0,2.0,2.0,2.0
139,2.0,2.0,2.0,3.0
140,1.0,1.0,1.0,1.0
141,2.0,2.0,2.0,2.0
142,2.0,2.0,2.0,3.0
143,2.0,2.0,2.0,3.0
144,2.0,2.0,2.0,2.0
145,2.0,2.0,2.0,3.0
146,2.0,2.0,2.0,2.0
147,3.0,3.0,3.0,3.0
148,4.0,4.0,3.0,4.0
149,4.0,4.0,3.0,4.0
150,4.0,4.0,3.0,4.0
151,2.0,3.0,2.0,2.0
152,2.0,2.0,2.0,2.0
153,2.0,2.0,2.0,2.0
154,3.0,3.0,3.0,4.0
155,3.0,3.0,3.0,3.0
156,2.0,2.0,2.0,3.0
157,2.0,3.0,2.0,3.0
158,2.0,2.0,2.0,3.0
159,2.0,2.0,2.0,3.0
160,2.0,2.0,2.0,3.0
161,3.0,3.0,2.0,3.0
162,2.0,2.0,2.0,3.0
163,2.0,2.0,2.0,3.0
164,3.0,3.0,2.0,3.0
165,3.0,3.0,2.0,3.0
166,2.0,3.0,2.0,3.0
167,4.0,4.0,3.0,4.0
168,2.0,2.0,2.0,3.0
169,2.0,2.0,2.0,3.0
170,2.0,2.0,2.0,3.0
171,2.0,2.0,2.0,3.0
172,2.0,2.0,2.0,2.0
173,2.0,2.0,2.0,2.0
174,3.0,3.0,3.0,3.0
175,3.0,3.0,3.0,3.0
176,2.0,2.0,2.0,2.0
177,4.0,4.0,3.0,4.0
178,3.0,3.0,3.0,4.0
179,1.0,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0
181,4.0,4.0,3.0,4.0
182,4.0,4.0,3.0,4.0
183,3.0,3.0,3.0,4.0
184,2.0,2.0,2.0,3.0
185,2.0,2.0,2.0,3.0
186,2.0,2.0,2.0,3.0
187,2.0,2.0,2.0,3.0
188,2.0,2.0,2.0,3.0
189,2.0,2.0,2.0,3.0
190,2.0,2.0,2.0,3.0
191,2.0,2.0,2.0,3.0
192,2.0,2.0,2.0,3.0
193,1.0,1.0,1.0,1.0
194,3.0,3.0,2.0,3.0
195,2.0,2.0,2.0,2.0
196,2.0,2.0,2.0,3.0
197,2.0,2.0,2.0,3.0
198,2.0,2.0,2.0,2.0
199,2.0,2.0,2.0,2.0
200,2.0,2.0,2.0,3.0
201,3.0,3.0,3.0,4.0
202,3.0,3.0,3.0,4.0
203,3.0,3.0,2.0,3.0
204,2.0,3.0,2.0,3.0
205,2.0,3.0,2.0,3.0
206,2.0,3.0,2.0,3.0
207,2.0,2.0,2.0,3.0
208,2.0,2.0,2.0,3.0
209,2.0,2.0,2.0,3.0
210,2.0,2.0,2.0,3.0
211,2.0,2.0,2.0,3.0
212,2.0,2.0,2.0,3.0
213,3.0,3.0,3.0,4.0
214,3.0,3.0,3.0,4.0
215,3.0,3.0,3.0,4.0
216,2.0,2.0,2.0,3.0
217,2.0,2.0,2.0,3.0
218,2.0,2.0,2.0,3.0
219,2.0,2.0,2.0,3.0
220,1.0,1.0,1.0,1.0
221,2.0,2.0,2.0,3.0
222,1.0,1.0,1.0,1.0
223,4.0,4.0,4.0,4.0
224,2.0,2.0,2.0,3.0
225,2.0,2.0,2.0,2.0
226,2.0,2.0,2.0,3.0
227,2.0,2.0,2.0,2.0
228,2.0,2.0,2.0,3.0
229,1.0,1.0,1.0,1.0
230,1.0,1.0,1.0,1.0
231,2.0,2.0,2.0,3.0
232,4.0,4.0,3.0,4.0
233,2.0,2.0,2.0,3.0
234,2.0,2.0,2.0,2.0
235,2.0,2.0,2.0,2.0
236,2.0,2.0,2.0,2.0
237,2.0,2.0,2.0,2.0
238,1.0,1.0,1.0,1.0
239,1.0,1.0,1.0,1.0
240,2.0,2.0,2.0,3.0
241,4.0,4.0,3.0,4.0
242,2.0,2.0,2.0,2.0
243,2.0,2.0,2.0,2.0
244,1.0,1.0,1.0,1.0
245,2.0,2.0,2.0,3.0
246,2.0,2.0,2.0,3.0
247,2.0,2.0,2.0,3.0
248,2.0,2.0,2.0,2.0
249,2.0,2.0,2.0,3.0
250,2.0,2.0,2.0,3.0
251,2.0,2.0,2.0,2.0
252,2.0,2.0,2.0,2.0
253,2.0,2.0,2.0,2.0
254,2.0,2.0,2.0,2.0
255,2.0,2.0,2.0,2.0
256,3.0,3.0,3.0,3.0
257,3.0,3.0,2.0,3.0
258,3.0,3.0,3.0,4.0
259,4.0,4.0,3.0,4.0
260,4.0,4.0,3.0,4.0
261,4.0,4.0,3.0,4.0
262,4.0,4.0,3.0,4.0
263,4.0,4.0,3.0,4.0
264,3.0,3.0,3.0,4.0
265,3.0,3.0,3.0,4.0
266,2.0,2.0,2.0,3.0
267,2.0,2.0,2.0,3.0
268,4.0,4.0,4.0,4.0
269,2.0,2.0,2.0,3.0
270,2.0,2.0,2.0,3.0
271,2.0,2.0,2.0,2.0
272,3.0,3.0,2.0,4.0
273,3.0,3.0,2.0,4.0
274,3.0,3.0,2.0,4.0
275,2.0,2.0,2.0,3.0
276,1.0,1.0,1.0,1.0
277,4.0,4.0,3.0,4.0
278,2.0,2.0,2.0,2.0
279,2.0,2.0,2.0,2.0
280,1.0,1.0,1.0,1.0
281,1.0,1.0,1.0,1.0
282,1.0,1.0,1.0,1.0
283,1.0,1.0,1.0,1.0
284,4.0,4.0,3.0,4.0
285,3.0,3.0,3.0,4.0
286,2.0,2.0,2.0,3.0
287,2.0,2.0,2.0,3.0
288,1.0,1.0,1.0,1.0
289,1.0,1.0,1.0,1.0
290,1.0,1.0,1.0,1.0
291,1.0,1.0,1.0,1.0
292,4.0,4.0,3.0,4.0
293,2.0,2.0,2.0,2.0
294,1.0,1.0,1.0,1.0
295,1.0,1.0,1.0,1.0
296,1.0,1.0,1.0,1.0
297,2.0,2.0,2.0,2.0
298,2.0,2.0,2.0,2.0
299,1.0,1.0,1.0,1.0
300,1.0,1.0,1.0,1.0
301,1.0,1.0,1.0,1.0
302,3.0,3.0,2.0,4.0
303,3.0,3.0,3.0,4.0
304,3.0,3.0,3.0,4.0
305,2.0,2.0,2.0,2.0
306,2.0,2.0,2.0,2.0
307,1.0,1.0,1.0,1.0
308,2.0,2.0,2.0,3.0
309,1.0,1.0,1.0,1.0
310,1.0,1.0,1.0,1.0
311,1.0,1.0,1.0,1.0
312,1.0,1.0,1.0,1.0
313,1.0,1.0,1.0,1.0
314,1.0,1.0,1.0,1.0
315,1.0,1.0,1.0,1.0
316,1.0,1.0,1.0,1.0
317,3.0,3.0,3.0,4.0
318,3.0,3.0,3.0,4.0
319,4.0,4.0,3.0,4.0
320,2.0,2.0,2.0,2.0
321,4.0,4.0,4.0,3.0
322,2.0,2.0,2.0,3.0
323,2.0,2.0,2.0,3.0
324,2.0,2.0,2.0,3.0
325,2.0,2.0,2.0,3.0
326,2.0,2.0,2.0,3.0
327,2.0,2.0,2.0,3.0
328,4.0,4.0,4.0,4.0
329,3.0,3.0,3.0,4.0
330,3.0,3.0,3.0,4.0
331,2.0,2.0,2.0,2.0
332,2.0,2.0,2.0,2.0
333,2.0,2.0,2.0,2.0
334,2.0,2.0,2.0,3.0
335,2.0,2.0,2.0,3.0
336,2.0,2.0,2.0,3.0
337,2.0,2.0,2.0,3.0
338,2.0,2.0,2.0,3.0
339,2.0,2.0,2.0,3.0
340,2.0,2.0,2.0,2.0
341,2.0,2.0,2.0,2.0
342,2.0,2.0,2.0,2.0
343,2.0,2.0,2.0,3.0
344,2.0,2.0,2.0,3.0
345,2.0,2.0,2.0,3.0
346,2.0,2.0,2.0,3.0
347,4.0,4.0,4.0,4.0
348,2.0,2.0,2.0,2.0
349,2.0,2.0,2.0,3.0
350,2.0,2.0,2.0,3.0
351,2.0,2.0,2.0,3.0
352,3.0,3.0,3.0,3.0
353,3.0,3.0,3.0,3.0
354,3.0,3.0,3.0,3.0
355,2.0,2.0,2.0,3.0
356,2.0,2.0,2.0,3.0
357,3.0,3.0,2.0,3.0
358,3.0,3.0,2.0,2.0
359,3.0,3.0,2.0,2.0
360,3.0,3.0,2.0,2.0
361,2.0,3.0,2.0,2.0
362,2.0,2.0,2.0,2.0
363,4.0,4.0,4.0,4.0
364,4.0,4.0,4.0,4.0
365,2.0,2.0,2.0,2.0
366,2.0,2.0,2.0,2.0
367,2.0,2.0,2.0,2.0
368,2.0,2.0,2.0,2.0
369,2.0,2.0,2.0,2.0
370,4.0,4.0,3.0,4.0
371,4.0,4.0,3.0,4.0
372,2.0,2.0,2.0,2.0
373,,,,
374,2.0,2.0,2.0,2.0
375,2.0,2.0,2.0,2.0
376,4.0,4.0,4.0,4.0
377,2.0,2.0,2.0,3.0
378,2.0,2.0,2.0,3.0
379,2.0,2.0,2.0,2.0
380,2.0,2.0,2.0,2.0
381,2.0,2.0,2.0,2.0
382,2.0,2.0,2.0,2.0
383,2.0,2.0,2.0,2.0
384,,1.0,1.0,1.0
385,2.0,2.0,2.0,2.0
386,2.0,2.0,2.0,2.0
387,2.0,2.0,2.0,2.0
388,2.0,3.0,2.0,2.0
389,2.0,3.0,2.0,2.0
390,2.0,2.0,2.0,3.0
391,2.0,2.0,2.0,3.0
392,2.0,2.0,2.0,3.0
393,2.0,2.0,2.0,3.0
394,2.0,2.0,2.0,3.0
395,2.0,2.0,2.0,3.0
396,2.0,2.0,2.0,2.0
397,2.0,2.0,2.0,2.0
398,2.0,2.0,2.0,2.0
399,3.0,3.0,2.0,3.0
400,3.0,3.0,2.0,3.0
401,2.0,2.0,2.0,2.0
402,2.0,2.0,2.0,2.0
403,2.0,2.0,2.0,2.0
404,3.0,3.0,3.0,4.0
405,3.0,3.0,3.0,4.0
406,1.0,1.0,1.0,1.0
407,2.0,2.0,2.0,3.0
408,2.0,2.0,2.0,3.0
409,2.0,2.0,2.0,3.0
410,2.0,2.0,2.0,2.0
411,2.0,2.0,2.0,2.0
412,2.0,2.0,2.0,2.0
413,2.0,2.0,2.0,2.0
414,2.0,2.0,2.0,2.0
